id,release_date,movie,production_budget,domestic_gross,worldwide_gross,worldwide_roi,roi_category,movie_year,tconst,primary_title,original_title,start_year,runtime_minutes,genres
80,"Jul 10, 2015",The Gallows,100000,22764410,41656474,41656.474,high,The Gallows (2015),tt2309260,The Gallows,The Gallows,2015.0,81.0,"Horror,Mystery,Thriller"
12,"Jan 6, 2012",The Devil Inside,1000000,53262945,101759490,10175.949,high,The Devil Inside (2012),tt1560985,The Devil Inside,The Devil Inside,2012.0,83.0,Horror
65,"Oct 20, 2010",Paranormal Activity 2,3000000,84752907,177512032,5917.067733333332,high,Paranormal Activity 2 (2010),tt1536044,Paranormal Activity 2,Paranormal Activity 2,2010.0,91.0,Horror
49,"Feb 24, 2017",Get Out,5000000,176040665,255367951,5107.35902,high,Get Out (2017),tt5052448,Get Out,Get Out,2017.0,104.0,"Horror,Mystery,Thriller"
64,"Oct 21, 2016",Moonlight,1500000,27854931,65245512,4349.700800000001,high,Moonlight (2016),tt4975722,Moonlight,Moonlight,2016.0,111.0,Drama
18,"May 25, 2012",Chernobyl Diaries,1000000,18119640,42411721,4241.1721,high,Chernobyl Diaries (2012),tt1991245,Chernobyl Diaries,Chernobyl Diaries,2012.0,86.0,"Horror,Mystery,Thriller"
51,"Oct 21, 2011",Paranormal Activity 3,5000000,104028807,207039844,4140.79688,high,Paranormal Activity 3 (2011),tt1778304,Paranormal Activity 3,Paranormal Activity 3,2011.0,83.0,"Horror,Mystery,Thriller"
84,"Oct 3, 2014",Annabelle,6500000,84273813,256862920,3951.7372307692303,high,Annabelle (2014),tt3322940,Annabelle,Annabelle,2014.0,99.0,"Horror,Mystery,Thriller"
15,"Aug 27, 2010",The Last Exorcism,1800000,41034350,70165900,3898.105555555556,high,The Last Exorcism (2010),tt1320244,The Last Exorcism,The Last Exorcism,2010.0,87.0,"Drama,Horror,Thriller"
56,"Dec 21, 2016",Dangal,9500000,12391761,294654618,3101.627557894737,high,Dangal (2016),tt5074352,Dangal,Dangal,2016.0,161.0,"Action,Biography,Drama"
67,"Jun 7, 2013",The Purge,3000000,64473115,91266581,3042.2193666666667,high,The Purge (2013),tt2184339,The Purge,The Purge,2013.0,85.0,"Horror,Thriller"
55,"Jul 22, 2016",Lights Out,5000000,67268835,148806510,2976.1302,high,Lights Out (2016),tt4786282,Lights Out,Lights Out,2016.0,81.0,"Drama,Horror,Mystery"
55,"Jul 22, 2016",Lights Out,5000000,67268835,148806510,2976.1302,high,Lights Out (2016),tt5328340,Lights Out,Lights Out,2016.0,90.0,Documentary
69,"Oct 12, 2012",Sinister,3000000,48086903,87727807,2924.260233333333,high,Sinister (2012),tt1922777,Sinister,Sinister,2012.0,110.0,"Horror,Mystery,Thriller"
59,"Oct 19, 2012",Paranormal Activity 4,5000000,53900335,142817992,2856.35984,high,Paranormal Activity 4 (2012),tt2109184,Paranormal Activity 4,Paranormal Activity 4,2012.0,88.0,"Horror,Mystery,Thriller"
86,"Jul 7, 2017",A Ghost Story,100000,1594798,2769782,2769.782,high,A Ghost Story (2017),tt6265828,A Ghost Story,A Ghost Story,2017.0,92.0,"Drama,Fantasy,Romance"
91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,2717.9241142857145,high,Truth or Dare (2018),tt6772950,Truth or Dare,Truth or Dare,2018.0,100.0,"Horror,Thriller"
91,"Apr 13, 2018",Truth or Dare,3500000,41411015,95127344,2717.9241142857145,high,Truth or Dare (2018),tt6869948,Truth or Dare,Truth or Dare,2018.0,92.0,"Comedy,Drama,Romance"
43,"Jun 6, 2014",The Fault in Our Stars,12000000,124872350,307166834,2559.7236166666667,high,The Fault in Our Stars (2014),tt2582846,The Fault in Our Stars,The Fault in Our Stars,2014.0,126.0,"Drama,Romance"
36,"Oct 19, 2018",Halloween,10000000,159342015,254900667,2549.00667,high,Halloween (2018),tt1502407,Halloween,Halloween,2018.0,106.0,"Horror,Thriller"
46,"Dec 3, 2010",Black Swan,13000000,106954678,331266710,2548.205461538462,high,Black Swan (2010),tt0947798,Black Swan,Black Swan,2010.0,108.0,"Drama,Thriller"
58,"Oct 13, 2017",Happy Death Day,5000000,55683845,125010260,2500.2052,high,Happy Death Day (2017),tt5308322,Happy Death Day,Happy Death Day,2017.0,96.0,"Horror,Mystery,Thriller"
66,"Aug 28, 2015",War Room,3000000,67790117,73975239,2465.8413,high,War Room (2015),tt3832914,War Room,War Room,2015.0,120.0,Drama
88,"Jun 29, 2012",Magic Mike,7000000,113721571,170549753,2436.425042857143,high,Magic Mike (2012),tt1915581,Magic Mike,Magic Mike,2012.0,110.0,"Comedy,Drama"
12,"Jan 11, 2013",A Haunted House,2500000,40041683,59922558,2396.90232,high,A Haunted House (2013),tt2243537,A Haunted House,A Haunted House,2013.0,86.0,"Comedy,Fantasy"
54,"Mar 11, 2016",10 Cloverfield Lane,5000000,72082999,108286422,2165.728440000001,high,10 Cloverfield Lane (2016),tt1179933,10 Cloverfield Lane,10 Cloverfield Lane,2016.0,103.0,"Drama,Horror,Mystery"
92,"Dec 9, 2016",La La Land,20000000,151101803,426351163,2131.755815,high,La La Land (2016),tt3783958,La La Land,La La Land,2016.0,128.0,"Comedy,Drama,Music"
60,"Oct 24, 2014",Ouija,5000000,50856010,103300632,2066.01264,high,Ouija (2014),tt1204977,Ouija,Ouija,2014.0,89.0,"Horror,Mystery,Thriller"
2,"Aug 11, 2017",Annabelle: Creation,15000000,102092201,305384865,2035.8991,high,Annabelle: Creation (2017),tt5140878,Annabelle: Creation,Annabelle: Creation,2017.0,109.0,"Horror,Mystery,Thriller"
24,"Sep 8, 2017",It,35000000,327481748,697457969,1992.7370542857145,high,It (2017),tt1396484,It,It,2017.0,135.0,"Horror,Thriller"
56,"Sep 11, 2015",The Visit,5000000,65206105,98677816,1973.55632,high,The Visit (2015),tt3567288,The Visit,The Visit,2015.0,94.0,"Horror,Mystery,Thriller"
66,"Apr 6, 2018",A Quiet Place,17000000,188024361,334522294,1967.7782,high,A Quiet Place (2018),tt6644200,A Quiet Place,A Quiet Place,2018.0,90.0,"Drama,Horror,Sci-Fi"
49,"Sep 1, 2015",Exeter,25000,0,489792,1959.168,high,Exeter (2015),tt1945044,Exeter,Exeter,2015.0,91.0,"Horror,Mystery,Thriller"
38,"Jul 12, 2013",Fruitvale Station,900000,16098998,17549645,1949.9605555555554,high,Fruitvale Station (2013),tt2334649,Fruitvale Station,Fruitvale Station,2013.0,85.0,"Biography,Drama,Romance"
70,"Jan 3, 2014",Paranormal Activity: The Marked Ones,5000000,32462372,90904854,1818.09708,high,Paranormal Activity: The Marked Ones (2014),tt2473682,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,2014.0,84.0,"Horror,Mystery,Thriller"
87,"Sep 30, 2011",Courageous,2000000,34522221,35185884,1759.2942,high,Courageous (2011),tt1630036,Courageous,Courageous,2011.0,129.0,Drama
45,"Jan 5, 2018",Insidious: The Last Key,10000000,67745330,167885588,1678.85588,high,Insidious: The Last Key (2018),tt5726086,Insidious: The Last Key,Insidious: The Last Key,2018.0,103.0,"Horror,Mystery,Thriller"
25,"Dec 29, 2010",Blue Valentine,1000000,9737892,16566240,1656.624,high,Blue Valentine (2010),tt1120985,Blue Valentine,Blue Valentine,2010.0,112.0,"Drama,Romance"
29,"Jul 20, 2018",Unfriended: Dark Web,1000000,8866745,16434588,1643.4588,high,Unfriended: Dark Web (2018),tt4761916,Unfriended: Dark Web,Unfriended: Dark Web,2018.0,92.0,"Crime,Horror,Mystery"
84,"Nov 2, 2018",Bohemian Rhapsody,55000000,216303339,894985342,1627.2460763636366,high,Bohemian Rhapsody (2018),tt1727824,Bohemian Rhapsody,Bohemian Rhapsody,2018.0,134.0,"Biography,Drama,Music"
93,"Jul 19, 2013",The Conjuring,20000000,137400141,318000141,1590.0007050000002,high,The Conjuring (2013),tt1457767,The Conjuring,The Conjuring,2013.0,112.0,"Horror,Mystery,Thriller"
73,"Jul 10, 2015",Minions,74000000,336045770,1160336173,1568.0218554054056,high,Minions (2015),tt2293640,Minions,Minions,2015.0,91.0,"Adventure,Animation,Comedy"
95,"Nov 17, 2017",Wonder,20000000,132422809,304604712,1523.0235599999999,high,Wonder (2017),tt2543472,Wonder,Wonder,2017.0,113.0,"Drama,Family"
6,"Nov 28, 2014",The Imitation Game,15000000,91125143,227740463,1518.2697533333335,high,The Imitation Game (2014),tt2084970,The Imitation Game,The Imitation Game,2014.0,114.0,"Biography,Drama,Thriller"
64,"May 9, 2014",Neighbors,18000000,150086800,270944428,1505.246822222222,high,Neighbors (2014),tt2004420,Neighbors,Neighbors,2014.0,97.0,Comedy
74,"Oct 28, 2011",Like Crazy,250000,3395391,3728400,1491.36,high,Like Crazy (2011),tt1758692,Like Crazy,Like Crazy,2011.0,86.0,"Drama,Romance"
85,"Jul 11, 2014",Boyhood,4000000,25379975,57273049,1431.826225,high,Boyhood (2014),tt1065073,Boyhood,Boyhood,2014.0,165.0,Drama
78,"Feb 13, 2015",Fifty Shades of Grey,40000000,166167230,570998101,1427.4952525,high,Fifty Shades of Grey (2015),tt2322441,Fifty Shades of Grey,Fifty Shades of Grey,2015.0,125.0,"Drama,Romance,Thriller"
71,"Nov 16, 2018",Green Book,23000000,85080171,322034439,1400.1497347826087,high,Green Book (2018),tt6966692,Green Book,Green Book,2018.0,130.0,"Biography,Comedy,Drama"
56,"Feb 12, 2016",Deadpool,58000000,363070709,801025593,1381.0786086206895,high,Deadpool (2016),tt1431045,Deadpool,Deadpool,2016.0,108.0,"Action,Adventure,Comedy"
30,"Jun 30, 2017",Despicable Me 3,75000000,264624300,1034727750,1379.6370000000002,high,Despicable Me 3 (2017),tt3469046,Despicable Me 3,Despicable Me 3,2017.0,89.0,"Adventure,Animation,Comedy"
81,"Jan 23, 2015",The Boy Next Door,4000000,36006065,53401938,1335.04845,high,The Boy Next Door (2015),tt3181822,The Boy Next Door,The Boy Next Door,2015.0,91.0,"Horror,Thriller"
